1793677,6022,Salek Street,Kilbirnie,Wellington
1793676,6037,Salem Court,Churton Park,Wellington
1821916,0630,Salem Place,Torbay,Auckland
1800712,0632,Salerno Rise,Albany Heights,Auckland
3081843,3187,Salers Lane,Papamoa,
1785098,7495,Sales Road,Oxford,
1831585,1010,Sale Street,Auckland Central,Auckland
1828026,2014,Sale Street,"Cockle Bay,Howick",Auckland
1807623,3214,Sale Street,Fairfield,Hamilton
1790348,7810,Sale Street,Hokitika,
1803945,4110,Sale Street,Napier South,Napier
1790593,7812,Sale Street,Ross,
1820334,0484,Saleyard Avenue,Pukenui,
1841234,4710,Saleyard Close,Marton,
1939331,7410,Saleyard Drive,Amberley,
1820020,0491,Saleyard Road,Broadwood,Kohukohu
1778704,9792,Saleyard Road,Castlerock,Lumsden
1778363,9772,Saleyard Road,Charlton,Gore
1815037,3710,Saleyard Road,Te Kauwhata,
3082245,7775,Saleyard Road,Tinwald,Ashburton
3053418,2571,Saleyard Road,Whitford,
1776849,9779,Saleyards Road,Balfour,
1831878,0185,Saleyards Road,"Kauri,Te Kamo","Kauri,Whangarei"
1802013,4071,Saleyards Road,Matawhero,Gisborne
3007922,9401,Saleyards Road,"Oamaru,Waiareka Junction,Weston",Oamaru
1825908,1062,Saleyards Road,Otahuhu,Auckland
1820904,0994,Saleyards Road,Puhoi,Warkworth
1820707,0800,Saleyard Street,Helensville,
1786988,8051,Salford Avenue,Redwood,Christchurch
1817194,2019,Salford Crescent,Flat Bush,Auckland
1797623,4412,Salford Place,Awapuni,Palmerston North
1778303,9782,Salford Street,Centre Bush,Winton
3009725,9825,Salford Street,Edendale,
1778773,9710,Salford Street,Gore,
1800359,6037,Salford Street,Newlands,Wellington
1778703,9881,Salford Street,Orepuki,Riverton/Aparima
3009724,9810,Salford Street,"Rosedale,Windsor",Invercargill
1778492,9874,Salford Street,Wrights Bush,Invercargill
1837262,3434,Salicina Avenue,Cambridge,
1804493,1072,Salima Talagi Street,Point England,Auckland
1793668,6021,Salisbury Avenue,Mount Cook,Wellington
1808752,3116,Salisbury Avenue,Mount Maunganui,
3078368,7400,Salisbury Avenue,Rangiora,
1805267,4112,Salisbury Avenue,Tamatea,Napier
1797620,4410,Salisbury Avenue,Terrace End,Palmerston North
1796773,4500,Salisbury Avenue,Whanganui East,Whanganui
1770291,9400,Salisbury Crescent,Oamaru North,Oamaru
3080787,5018,Salisbury Crescent,Wallaceville,Upper Hutt
1812050,7614,Salisbury Drive,Rolleston,
3007911,6012,Salisbury Garden Court,Wadestown,Wellington
1816094,3216,Salisbury Place,Hamilton East,Hamilton
1770053,9024,Salisbury Place,Mosgiel,
1802273,4010,Salisbury Road,Awapuni,Gisborne
1821651,0626,Salisbury Road,Birkdale,Auckland
1772434,9011,Salisbury Road,Bradford,Dunedin
1781633,7972,Salisbury Road,"Fairview,Salisbury",Timaru
1810600,3015,Salisbury Road,Fairy Springs,Rotorua
3009015,4171,Salisbury Road,"Kereru,Maraekakaho","Hastings,Maraekakaho"
1817958,4394,Salisbury Road,"Midhirst,Ratapiko","Ratapiko,Stratford"
3081168,9092,Salisbury Road,North Taieri,Mosgiel
1778985,7020,Salisbury Road,Richmond,
1841489,7020,Salisbury Road Extension,Richmond,
1796328,4810,Salisbury Street,Ashhurst,
1783464,8013,Salisbury Street,Christchurch Central,Christchurch
1805569,4930,Salisbury Street,Dannevirke,
1830584,0310,Salisbury Street,Dargaville,
1824789,1011,Salisbury Street,Herne Bay,Auckland
1798447,5510,Salisbury Street,Levin,
1776317,9810,Salisbury Street,Waikiwi,Invercargill
1788080,7825,Salisbury Street,Westport,
1793685,6021,Salisbury Terrace,Mount Cook,Wellington
3082049,7610,Salkeld Place,Woodend,
1826786,0116,Salle Road,Ruakaka,
1820333,0486,Salles Road,Waiharara,Awanui
1825379,1041,Sally Crescent,Mount Roskill,Auckland
1773451,9292,Sallys Gully Road,Toko Mouth,Milton
1807624,3204,Salmond Place,Dinsdale,Hamilton
1771666,9300,Salmond Place,Queenstown,
1772435,9010,Salmond Street,Halfway Bush,Dunedin
1783126,8025,Salmond Street,Hoon Hay,Christchurch
1826785,0171,Salmon Road,"Mata,Springfield",Whangarei
1793680,6012,Salmont Place,Kelburn,Wellington
1809584,3120,Salonika Street,Whakatane,
3022408,1026,Saltaire Street,Avondale,Auckland
3022407,8083,Saltaire Street,North New Brighton,Christchurch
1816850,4310,Saltash Street,Upper Vogeltown,New Plymouth
3080254,3116,Salt Avenue,Mount Maunganui,
1822648,0620,Saltburn Road,Milford,Auckland
1806604,3121,Saltmarsh Close,Ohope,
3080314,7020,Saltmarsh Lane,Richmond,
1982687,0616,Saltmarsh Road,Hobsonville,Auckland
3077567,0573,Salt River View Road,Kaiwaka,
1820335,0484,Salt Road,Te Kao,
1842050,7010,Saltwater Creek Lane,Nelson,
