road_id,postcode,name,locality,city
1804691,4971,MacGibbon Road,Waitahora,Dannevirke
3084703,0932,MacGregor Lane,Wainui,Wainui
1835866,7206,MacGregor Street,Woodbourne,Blenheim
1775600,9074,Machine Creek Road,Hindon,Outram
1790563,7886,MacIntosh Road,Karangarua,Fox Glacier
1797180,4573,MacIntoshs Road,Kakatahi,Whanganui
1811722,3393,Mackay Crescent,Waihou,Te Aroha
1842719,0632,Mackay Drive,Greenhithe,Auckland
2008502,0582,Mackay Lane,Waipu,
1789672,7073,Mackay Pass Road,"Bainham,Rockville",Collingwood
1811396,3781,Mackay Road,Maramarua Forest,Te Kauwhata
3048755,9587,Mackay Road,"Moa Flat,Wilden",Tapanui
3048754,9777,Mackay Road,"Otama,Wendon","Gore,Riversdale"
1776638,9877,Mackay Road,Woodend,Invercargill
1790235,7805,Mackay Street,Greymouth,
1806984,3600,Mackay Street,Paeroa,
1806276,3500,Mackay Street,Thames,
1830517,3610,Mackay Street,Waihi,
1803087,4108,Mackay Street,Wairoa,
1771705,9305,Mackay Street,Wanaka,
3046638,8042,Mackay Street,Wigram,Christchurch
1796229,5032,MacKay Street,Paraparaumu Beach,Paraparaumu
1818871,1021,MacKelvie Street,Grey Lynn,Auckland
1782377,8023,MacKenzie Avenue,"Waltham,Woolston",Christchurch
1782007,7901,MacKenzie Drive,Twizel,
1818789,3110,MacKenzie Lane,Bethlehem,Tauranga
3018523,7999,MacKenzie Pass Road,"Burkes Pass,Tekapo","Fairlie,Lake Tekapo"
1815291,3434,MacKenzie Place,Cambridge,
1819077,0310,MacKenzie Place,Dargaville,
3083704,9492,Mackenzie Point Rise,Oamaru North,Oamaru
1800172,5013,MacKenzie Road,Eastbourne,Lower Hutt
3004690,3885,MacKenzie Road,"Hauturu,Oparau",Oparau
3004689,4295,MacKenzie Road,"Kahuranaki,Poukawa",
1779846,7483,MacKenzies Road,Waipara,
1840200,7925,MacKenzie Street,Fairlie,
1814798,3127,MacKenzie Street,Kawerau,
1786530,7999,MacKenzie Street,Lake Tekapo,
1796434,3989,MacKenzie Street,National Park,
1772113,9016,MacKenzie Street,North Dunedin,Dunedin
1812076,3411,MacKenzie Street,Putaruru,
1823102,0610,MacKenzie Street,Te Atatu South,Auckland
1778036,9720,MacKenzie Street,Winton,
1835651,9793,MacKenzie Track,Walter Peak,Te Anau
1819645,0210,MacKereth Lane,Kawakawa,
1818872,0112,Mackesy Road,Parahaki,Whangarei
1802340,4083,Mackey Road,Ruatoria,
3082984,9024,Mackie Mews,Mosgiel,
1826714,0173,Mackie Place,Matapouri,Whangarei
1815399,3118,Mackie Place,Papamoa Beach,Papamoa
3014086,7772,Mackies Road,"Barrhill,Mitcham","Ashburton,Lauriston"
1781211,7730,Mackie Street,Methven,
1781216,7710,Mackie Street,Rakaia,
1804610,4200,Mackie Street,Waipukurau,
3078556,4310,Mackillop Way,Brooklands,New Plymouth
1842773,8042,Mackinder Drive,Wigram,Christchurch
1777940,9600,MacKinnon Loop,Te Anau,
1827282,2684,MacKinnon Road,Manukau Heads,Awhitu
3084482,8083,MacKinnon Street,Marshland,Christchurch
1771710,9300,MacKinnon Terrace,Sunshine Bay,Queenstown
1841483,4993,Mackisacks Road,Eketahuna,
1781261,7986,Mackle Road,Clandeboye,Temuka
1803090,4108,Mackley Street,Wairoa,
1827923,2110,Mack Place,Red Hill,Papakura
1833244,0178,Macks Lane,Mangapai,Whangarei
1988200,2471,Macks Road,Pokeno,
1798543,4815,Mack Street,Foxton Beach,Foxton
1832828,0632,Mackwell Road,Fairview Heights,Auckland
1821775,0626,Mackwood Place,Birkdale,Auckland
1782361,8062,Mackworth Street,Woolston,Christchurch
1813151,3883,Macky Access Road,Te Awamutu,
3005385,0624,Macky Avenue,"Devonport,Hauraki Gulf / Tikapa Moana",Auckland
1829220,2024,Macky Avenue,Mangere East,Auckland
1820913,0875,Macky Road,Kaukapakapa,
1813148,3876,Macky Road,Pirongia,
1793003,5011,Macky Street,Taita,Lower Hutt
1772120,9016,MacLaggan Street,Dunedin Central,Dunedin
3083130,9305,MacLaren Road,Wanaka,
1842762,8042,MacLaren Road,Wigram,Christchurch
3028682,5018,MacLaren Street,Maymorn,Upper Hutt
