1803822,4182,100 Acre Road,Tarawera,Napier
1951416,0932,10th Avenue,Red Beach,\N
1951423,0932,1st Avenue,Red Beach,\N
1951424,0932,2nd Avenue,Red Beach,\N
1951422,0932,3rd Avenue,Red Beach,\N
3051564,4820,42nd Street,Linton,Palmerston North
1951421,0932,4th Avenue,Red Beach,\N
1776600,9810,55 Arcade,Invercargill,
1951420,0932,5th Avenue,Red Beach,\N
1951419,0932,6th Avenue,Red Beach,
1951822,0932,7th Avenue,Red Beach,\N
1951418,0932,8th Avenue,Red Beach,
1951417,0932,9th Avenue,Red Beach,\N
