road_id,postcode,name,locality,city
3015038,8011,Raglan Street,"Linwood,Phillipstown",Christchurch
1829338,2024,Raglan Street,Mangere East,Auckland
1770258,9400,Raglan Street,Oamaru North,Oamaru
1776974,9831,Raglan Street,Wyndham,
1822988,0604,Ragley Street,Titirangi,Auckland
1953120,7615,Ragley Way,Rolleston,
3081345,8971,Ra Hana Place,Diamond Harbour,
3060173,5036,Rahana Way,Waikanae,
1821363,0793,Rahanui Road,Riverhead,
1786662,8024,Rahera Street,Spreydon,Christchurch
3084359,3110,Rahipere Court,Judea,Tauranga
1820102,0475,Rahiri Road,Horeke,Okaihau
1823737,1024,Rahiri Road,Mount Eden,Auckland
1812982,3495,Rahiri Road,Rotoorangi,Cambridge
1816361,4320,Rahiri Street,Waitara,
1795110,5810,Rahiwi Place,Lansdowne,Masterton
1842026,7692,Rahme Crescent,Kaiapoi,
1818945,0620,Rahopara Street,Castor Bay,Auckland
3081803,0614,Rahopuru Road,Westgate,Auckland
1795607,5772,Raho Ruru Road,Pirinoa,
1817293,4681,Rahotu Road,Rahotu,Opunake
1841630,0629,Rahotu Way,Bayview,Auckland
1840145,9383,Rahoy Close,Mount Pisa,Cromwell
1800291,5012,Rahui Grove,Korokoro,Lower Hutt
1821361,0972,Rahuikiri Road,Tomarata,Wellsford
1822276,0632,Rahui Road,Greenhithe,Auckland
1805492,3072,Rahui Road,Hamurana,
1841225,3491,Rahui Road,Kinleith,Tokoroa
1818203,3983,Rahui Road,Kopaki,Te Kuiti
1795774,,Rahui Road,Otaki,
1812639,3330,Rahui Road,Taupo,
1793688,6022,Rahui Street,Strathmore Park,Wellington
3080821,3710,Rahui Street,Te Kauwhata,
1833829,4314,Rahui View,Oakura,
3005010,3674,Rahu Road,"Karangahake,Waikino","Karangahake,Waihi"
1799877,6035,Raihania Lane,Ngaio,Wellington
1820200,0405,Raihara Street,Kaikohe,
3002064,5022,Raiha Street,"Elsdon,Kenepuru",Porirua
1842389,3118,Raiha Street,Papamoa Beach,Papamoa
1812873,3800,Raikes Avenue,Te Awamutu,
3084888,5018,Raikes Road,Kaitoke,Upper Hutt
1805252,4112,Railey Place,Greenmeadows,Napier
1818946,0612,Railside Avenue,Henderson,Auckland
1839103,3204,Railside Place,Dinsdale,Hamilton
1793054,5010,Railway Avenue,Alicetown,Lower Hutt
1792711,5018,Railway Avenue,Maidstone,Upper Hutt
1776975,9875,Railway Bridge Road,Gorge Road,Invercargill
1776973,9825,Railway Crescent,Edendale,
1795111,5810,Railway Crescent,Masterton,
3064017,9710,Railway Esplanade,East Gore,Gore
1778766,9771,Railway Esplanade,McNab,Gore
1799053,4720,Railway Farm Road,Taihape,
1770867,9320,Railway Lane,Alexandra,
1802287,4010,Railway Lane,"Mangapapa,Whataupoko",Gisborne
1825739,1062,Railway Lane,Otahuhu,Auckland
1775598,9019,Railway Lane,Outram,
1801049,4900,Railway Place,Eketahuna,
1782057,7925,Railway Place,Fairlie,
1802688,4198,Railway Road,Bartletts,Nuhaka
1835297,,Railway Road,"Bunnythorpe,Milson,Roslyn",Palmerston North
1778517,9871,Railway Road,"Dacre,Morton Mains,Woodlands",Invercargill
1795420,5791,Railway Road,Dalefield,Carterton
1780151,7682,Railway Road,Dunsandel,
3056507,3015,Railway Road,"Fairy Springs,Mangakakahi",Rotorua
1800687,5712,Railway Road,Greytown,
1803284,,Railway Road,"Hastings,Raureka",Hastings
1817545,4610,Railway Road,Hawera,
1833827,7871,Railway Road,Ikamatua,Reefton
3056505,3079,Railway Road,Kaingaroa Forest,Murupara
1819707,0210,Railway Road,Kawakawa,
3056494,7671,Railway Road,"Kirwee,Rolleston",
1774373,9397,Railway Road,Kokonga,Kyeburn
1826781,0178,Railway Road,Portland,Whangarei
